dataset,model_type,include_incurreds,include_covariates,transform_inputs,version_no,target_col,type,nLayers,nHidden,criterion,nonlinearity,output_layer,epochs,patience,batch_size,optimiser,learning_rate,normalisation,dropout,loss,vsInc,weighted_vsInc_claimsize,weighted_vsInc_ocl,UIE
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,256,,0.001,,0,1948322,57.17,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,256,,0.001,,0.2,1976900,53.99,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,256,,0.005,,0,1959486,51.9,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,256,,0.005,,0.2,2014786,52.27,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,256,,0.01,,0,1926630,55.66,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,256,,0.01,,0.2,2025144,50.7,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,512,,0.001,,0,1003112,54.56,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,512,,0.001,,0.2,998957,53.19,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,512,,0.005,,0,979987,55.91,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,512,,0.005,,0.2,1020585,52.45,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,512,,0.01,,0,975870,55.7,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,256,L1Loss(),relu,linear,200,10,512,,0.01,,0.2,1053070,49.61,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,256,,0.001,,0,1913777,58.05,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,256,,0.001,,0.2,1972294,54.13,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,256,,0.005,,0,1942037,55.78,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,256,,0.005,,0.2,2027066,49,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,256,,0.01,,0,1983442,51.08,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,256,,0.01,,0.2,2060151,46.08,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,512,,0.001,,0,992376,55.83,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,512,,0.001,,0.2,999718,53.43,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,512,,0.005,,0,970784,56.28,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,256,L1Loss(),relu,linear,200,10,512,,0.005,,0.2,1023021,51.19,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,512,L1Loss(),relu,linear,200,10,256,,0.001,,0,1963353,56.85,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,512,L1Loss(),relu,linear,200,10,256,,0.001,,0.2,1960365,54.01,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,512,L1Loss(),relu,linear,200,10,256,,0.005,,0,1908256,55.19,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,512,L1Loss(),relu,linear,200,10,256,,0.005,,0.2,2016022,51.47,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,512,L1Loss(),relu,linear,200,10,512,,0.001,,0,983182,57.56,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,512,L1Loss(),relu,linear,200,10,512,,0.001,,0.2,1002207,54.62,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,512,L1Loss(),relu,linear,200,10,512,,0.005,,0,964303,54.62,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,2,512,L1Loss(),relu,linear,200,10,512,,0.005,,0.2,999125,53.03,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,512,L1Loss(),relu,linear,200,10,256,,0.001,,0,1969323,47.24,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,512,L1Loss(),relu,linear,200,10,256,,0.001,,0.2,1986165,52.8,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,512,L1Loss(),relu,linear,200,10,256,,0.005,,0,1945012,54.17,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,512,L1Loss(),relu,linear,200,10,256,,0.005,,0.2,2093640,46.77,,,
noInf,RNN,TRUE,FALSE,FALSE,1,target,RNN,3,512,L1Loss(),relu,linear,200,10,512,,0.001,,0,969545,57.91,,,
